Depmap ID,Expression Public 23Q2,Cell Line Name,Primary Disease,Lineage,Lineage Subtype
ACH-000512,6.73809225962049,INA6,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000513,7.634375453839637,SNU1272,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000514,7.876209957513753,NCIH1092,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000515,7.292781749227846,HCC33,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000516,7.992258594487266,CAL78,Chondrosarcoma,Bone,Chondrosarcoma
ACH-000517,8.669097650906568,SNU410,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000518,8.51546331151232,CAL33,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000519,7.981510200851319,PEER,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-000520,8.037437134746103,59M,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000521,8.658961203654542,NCIH2030,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000522,7.135965742427338,UMUC3,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000523,7.501757585738664,NCIH1184,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000524,7.851124362886753,KURAMOCHI,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000525,7.567195561406875,NCIH2171,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000526,8.228000931585797,HS821T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000527,8.552553830988979,OVISE,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000528,7.738227400367242,ABC1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000529,7.812562400731847,T173,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000530,8.503149937432434,DMS114,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000531,8.106536768868889,RS5,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000532,7.548359555594772,SNU61,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000533,7.605997980232519,NCIH2004RT,Rhabdoid Cancer,Kidney,Rhabdoid Cancer
ACH-000534,7.772875375504054,WSUDLCL2,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000535,8.693696028587421,BXPC3,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000536,8.070442998583575,BT20,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000537,9.209916318466115,SNU761,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000538,8.852217372873145,HUTU80,Small Bowel Cancer,Bowel,Small Bowel Cancer
ACH-000539,7.616107697600579,HS618T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000540,7.955824240806441,HS606T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000541,7.082574866339516,KMS34,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000542,7.168020188561669,HEYA8,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000543,9.034028586078207,SNU489,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000544,7.403778983950306,OE21,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000545,7.681168120416691,VMCUB1,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000546,6.904243227203662,HSC4,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000547,8.39771741052135,HT1197,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000548,7.230933093039401,BHY,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000549,8.03182524092711,SNU1076,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000550,8.118889176285045,IGR39,Melanoma,Skin,Melanoma
ACH-000551,8.451004997817993,K562,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000552,8.137298580921138,HT29,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000553,7.370077074384238,SQ1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000554,6.2505826647875375,UACC893,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000555,7.994183698045687,A498,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000556,8.35363205414768,SIHA,Cervical Squamous Cell Carcinoma,Cervix,Cervical Squamous Cell Carcinoma
ACH-000557,8.159467729266765,AML193,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000558,7.27658971572526,A172,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000559,8.842696045900999,NCIH1836,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000560,8.306380733620212,ECC10,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000561,8.121015400961365,TDOTT,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000562,8.494415610397496,HCC78,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000563,8.137452290772039,EBC1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000564,6.921364917919503,KHM1B,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000565,7.727307859646208,RCM1,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000566,8.410493751910778,SW1710,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000567,7.182692297516191,ST486,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000568,8.11556391523799,UACC812,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000569,9.113950482422505,ISTMES1,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000570,8.434294617959926,YKG1,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000571,8.299986405688802,T98G,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000572,9.05167118194881,G361,Melanoma,Skin,Melanoma
ACH-000573,7.30213623462205,MDAMB436,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000574,8.949943405334997,FUOV1,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000575,9.433314193157743,HCC364,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000576,7.826612040738686,KMS27,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000577,9.476280416672347,JHH2,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000578,8.253469333537804,HCC1171,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000579,8.50834941622587,UACC257,Melanoma,Skin,Melanoma
ACH-000580,8.424670199071524,C32,Melanoma,Skin,Melanoma
ACH-000581,8.173277373205469,SNU16,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000582,8.03573386705259,COLO741,Melanoma,Skin,Melanoma
ACH-000583,7.576370967485944,MC116,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000584,8.258848656662332,JHOS4,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000585,8.211985606275215,EPLC272H,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000586,7.37851162325373,NCIH1876,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000587,9.372560386457035,NCIH1975,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000588,7.268752511983763,KMS26,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000589,8.833585883396175,NCIH1437,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000590,7.576673292516575,NCIH2073,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000591,8.419918054750005,LN235,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000592,7.642123916153487,TM31,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000593,7.810057442437428,BC3C,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000594,7.314605901262219,DMS153,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000595,7.711701384484692,LN229,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000596,9.241292015451018,LCLC97TM1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000597,8.505573400282017,TTC709,Embryonal Tumor,CNS/Brain,Embryonal Tumor
ACH-000598,7.382234932751129,KMS21BM,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000599,7.768515180194243,PATU8902,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000600,9.137708437469602,SLR26,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000601,8.520382958910819,MIAPACA2,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000602,8.085870755334613,M07E,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000603,7.485104761080973,BEN,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000604,7.210330413537888,KYO1,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000605,7.690696443977697,TE6,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000606,8.225255646498598,PECAPJ34CLONEC12,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000607,8.379811543786989,KYM1,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma
ACH-000608,8.81176000299768,COV644,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000609,8.798471801101618,SF126,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000610,8.251482410620213,NCIH2227,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000611,6.96682265132437,SUDHL6,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000612,8.309112507796268,HUT102,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000613,7.575614877619633,HOS,Osteosarcoma,Bone,Osteosarcoma
ACH-000614,8.331320059516361,RVH421,Melanoma,Skin,Melanoma
ACH-000615,7.842161743499703,SKMEL28,Melanoma,Skin,Melanoma
ACH-000616,8.978882028096418,HS746T,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000617,8.285679633542632,OVCAR4,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000618,8.990671283975267,SNU1041,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000619,8.151879106512334,PECAPJ15,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000620,8.063341147755507,JHH1,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000621,8.41831646499879,MDAMB157,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000622,8.294758579413289,KNS42,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000623,8.515621000335397,SNU201,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000624,8.026800059343715,HCC1806,Breast Ductal Carcinoma In Situ,Breast,Breast Ductal Carcinoma In Situ
ACH-000625,9.510388365641626,HEP3B217,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000626,9.26216533363388,U266B1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000627,7.903761365128077,LCLC103H,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000628,8.527867927358246,NCIH596,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000629,6.505573400282018,IOMMLEE,Meningothelial Tumor,CNS/Brain,Meningothelial Tumor
ACH-000630,8.662490363913776,YD8,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000631,8.174176684452764,KS1,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000632,7.751142324726947,HS944T,Melanoma,Skin,Melanoma
ACH-000633,8.485628081971557,FU97,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000634,8.984276033701967,LN340,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000635,8.517078805452075,SNU119,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000636,8.229395653127401,RPMI8402,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-000637,7.921721947009604,KYSE520,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000638,8.896059885930141,NCIH441,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000639,7.508111681193465,NCIH211,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000640,8.257293545817499,SKMEL31,Melanoma,Skin,Melanoma
ACH-000641,8.46115198997535,CMK,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000642,5.037821465434967,HMEL,Non-Cancerous,Breast,Non-Cancerous
ACH-000643,8.02983934907253,HDQP1,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000644,7.358519341550474,COLO829,Melanoma,Skin,Melanoma
ACH-000645,9.086295483398589,JL1,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000646,6.965091624790789,OVMANA,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000647,7.714039403651787,TE1,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000648,8.106484424292539,NCIH28,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000649,8.736740155453209,786O,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000650,7.042534905539751,IGR37,Melanoma,Skin,Melanoma
ACH-000651,8.118889176285045,SW620,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000652,7.740185519975438,SUIT2,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000653,7.428192651217701,JJN3,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000654,7.606368196314227,RAJI,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000655,9.138604592939954,SF268,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000656,6.9665919677548205,SUDHL8,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000657,8.299849073737034,A2780,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000659,8.444145241058482,SCLC21H,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000660,7.984874124655418,SUDHL5,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000661,7.901349637650881,WM1799,Melanoma,Skin,Melanoma
ACH-000662,7.331723128274879,CORL23,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000663,8.31610047630208,OVTOKO,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000664,6.482686970937601,SUDHL1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000665,8.209258393665563,SKMES1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000666,8.084755248886847,NCIH1355,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000667,7.550515935708234,HCC44,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000668,7.016696878362517,HCC70,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000669,7.978424465440858,SW900,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000670,8.391415456484367,SBC5,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000671,8.384913230748689,HUH6,Hepatoblastoma,Liver,Hepatoblastoma
ACH-000672,7.053002695694355,IALM,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000673,8.01307138390046,LN443,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000674,7.605183170288658,NUGC4,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000675,8.733693279894345,NCIH1734,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000676,7.03132902418066,LN464,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000677,8.749902939087555,SW1573,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000678,7.417093001817085,MKN7,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000679,8.171126746652066,OE19,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000680,7.64565843240871,SW948,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000681,7.628044482616818,A549,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000682,7.285309735446666,SNU1066,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000683,8.247832596173845,SNU503,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000684,8.381975478557301,KMRC1,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000685,8.207063141518661,L33,Adenosquamous Carcinoma of the Pancreas,Pancreas,Adenosquamous Carcinoma of the Pancreas
ACH-000686,8.645982597119858,SNU878,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000687,7.260778431893426,CI1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000688,8.66441172785495,OV7,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000689,8.737754352360277,RH18,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma
ACH-000690,8.582744155268704,HCC2814,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000691,8.175724185380279,HCC2157,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000692,7.849811656894468,SNU899,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000693,7.428946344769483,KYSE180,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000694,6.603774686463973,TE9,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000695,8.365578816211844,CORL47,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000696,7.370861740085285,OVCAR8,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000697,5.951168128838912,A3KAW,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000698,7.07692245939234,DMS53,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000699,7.603848851483441,HCC1395,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000700,8.406502656812876,NCIH2882,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000701,7.567575868524113,RMUGS,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000702,7.550900664647523,L1236,Hodgkin Lymphoma,Lymphoid,Hodgkin Lymphoma
ACH-000703,8.32535043318951,DMS79,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000704,9.975991227531344,OAW42,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000705,7.788294188143117,LC1F,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000706,7.872151567969409,EKVX,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000707,6.97865326490861,P3HR1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000708,7.546894459887636,SNU283,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000709,7.412612184996608,KMRC2,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000710,8.444435167573094,NCIH854,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000711,7.965957397680419,JIMT1,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000712,7.531147490998126,HCC1833,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000713,8.044230167424544,CAOV3,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000714,7.644288933378696,KMS11,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000715,7.00337736020232,SNU1214,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000716,7.391716174576314,TT2609C02,Well-Differentiated Thyroid Cancer,Thyroid,Well-Differentiated Thyroid Cancer
ACH-000717,8.188638294561388,COLO680N,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000718,9.252665432450248,NCIH2291,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000719,7.98327866412136,RMGI,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000720,8.698461592978084,TCCSUP,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000721,9.009044787382496,HMC18,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000722,7.922911406258192,SNUC1,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000723,6.639955645056169,YD10B,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000724,8.293517630417425,HT1376,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000725,8.746144782651893,HCC202,Breast Ductal Carcinoma In Situ,Breast,Breast Ductal Carcinoma In Situ
ACH-000726,7.619926490470459,TE14,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000728,6.5815018966797885,KASUMI2,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000729,8.03512899804635,NCIH1963,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000730,7.2373533864381265,SKMEL5,Melanoma,Skin,Melanoma
ACH-000731,9.152589069287126,HCC2279,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000732,7.396604781181859,PECAPJ41CLONED2,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000733,9.041357988413209,NCIH1838,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000734,7.681378984226605,JHH5,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000735,9.105201388552937,PECAPJ49,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000736,8.028513900869154,SNU601,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000737,7.538615759167857,NCIH1385,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000738,8.65728271675386,GB1,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000739,8.423284022133878,HEPG2,Hepatoblastoma,Liver,Hepatoblastoma
ACH-000740,8.65072866359071,A253,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000741,7.647746217208096,UBLC1,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000742,7.91665577591251,DM3,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000743,8.368200865897748,CORL95,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000744,8.008708729835927,NCIH1623,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000745,6.578485913474387,MOLP8,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000746,7.8190933409711745,GSS,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000747,8.959972961997279,NCIH1703,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000748,7.906590002828831,SJSA1,Osteosarcoma,Bone,Osteosarcoma
ACH-000749,7.222456825927467,DMS273,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000750,7.789533644970359,LOXIMVI,Melanoma,Skin,Melanoma
ACH-000751,7.1199786096548765,OCIM1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000752,8.013462259806563,NCIH196,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000753,9.280863544963657,JMSU1,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000754,7.584060534426763,L428,Hodgkin Lymphoma,Lymphoid,Hodgkin Lymphoma
ACH-000755,7.882704179212527,HCC2218,Breast Ductal Carcinoma In Situ,Breast,Breast Ductal Carcinoma In Situ
ACH-000756,8.460292060742827,GI1,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000757,9.105332362855654,A427,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000758,7.285309735446666,MKN74,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000759,8.687865539150662,MDAMB175VII,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
